#accession	taxid
NC_028693	1747288
NC_028695	1701257
NC_028696	1647458
NC_028697	1701850
NC_028699	1647463
NC_028700	35344
NC_028702	1647385
NC_028772	1587520
NC_028782	1675598
NC_028789	1734382
NC_028795	1636314
NC_028799	1589297
NC_028800	1647374
NC_028816	1610834
NC_028822	1572753
NC_028836	1640972
NC_028848	1647373
NC_028850	1675027
NC_028863	1572754
NC_028870	1610835
NC_028880	1610508
NC_028885	1640973
NC_028903	1598146
NC_028908	1664247
NC_028916	1636249
NC_028919	1640969
NC_028926	1597966
NC_028933	1589273
NC_028977	1671396
NC_028987	1735582
NC_028988	1481785
NC_029007	1538364
NC_029017	1678082
NC_029031	461711
NC_029061	1636270
NC_029081	1654601
NC_029092	1701809
NC_029101	1636189
NC_029102	1636313
NC_029120	1416032
AJ748296	282066
NC_004086	157899
NC_004087	157898
NC_009965	309181
NC_019413	1245909
NC_025375	537009
NC_029314	1732175
AB746912	1230469
AB910392	1462581
AF424783	186153
AF489521	201847
AF547430	213236
AJ312240	171618
AP011956	874268
DQ113772	341698
DQ222851	347966
DQ289556	359962
DQ394806	374525
DQ394807	374526
DQ394808	374527
DQ394809	374529
DQ394810	444474
DQ530359	387907
DQ838728	201846
DQ908929	405947
EU078592	482822
EU568876	515982
EU676000	528321
FJ168660	561997
FJ174694	563124
FJ848884	665886
FJ848885	665887
FN436268	645116
FN436269	645117
GQ303261	663555
GQ303264	663558
GQ303265	663559
GQ478082	673833
GQ478083	673834
GQ478085	673836
GQ478087	673838
GQ979703	254252
GU196279	698488
GU196280	698489
GU196281	698490
GU247133	701454
GU247134	701455
HE614282	1118064
HM152765	861048
HM152766	861046
HM755814	927988
HQ127381	947066
JF704091	1034126
JF704093	1034129
JF704094	1034130
JF704095	1034131
JF704097	1034135
JF704098	1034136
JF704099	1034138
JF704100	1034139
JF704101	1034140
JF704104	1034151
JF704105	1034127
JF704106	1034152
JF704107	1034133
JF704108	1034137
JF704109	1034141
JF704110	1034142
JF704111	1034144
JF704112	1034146
JF704113	1034147
JF704114	1034148
JF704115	1034150
JF704117	1034145
JF713456	187944
JF731128	1073766
JF767210	1042124
JF792674	1034124
JF937090	1034099
JF937091	1034100
JF937092	1034102
JF937093	1034101
JF937094	1034103
JF937095	1034104
JF937096	1034105
JF937097	1034106
JF937098	1034107
JF937099	1034108
JF937100	1034110
JF937101	1034111
JF937102	1034112
JF937103	1034113
JF937104	1034114
JF937105	1034115
JF937106	1034116
JF937107	1034117
JF937108	1034118
JF937109	1034119
JF937110	1034109
JF957056	1032894
JF957057	1032891
JF957058	1032892
JF957059	1032893
JF957060	1032895
JN006062	1035483
JN006063	1035484
JN020140	1036613
JN020141	1036615
JN020142	1036614
JN020143	1036616
JN049605	1041406
JN083852	1041807
JN083853	1041808
JN185608	1051143
JN243856	1056832
JN391441	1070989
JN408459	1071502
JN412590	1074306
JN561150	1074829
JN572061	1076631
JN600672	1131256
JN618996	1079896
JN638752	1084720
JN638753	1084721
JN698990	1089124
JN698991	1089123
JN699002	1089114
JN699003	1089113
JN699004	1089112
JN699009	1089133
JN699010	1089107
JN699014	1089130
JN699015	1089129
JN699018	1089126
JN699019	1089125
JN699628	1088864
JN808773	1093100
JN811560	1093672
JN831654	1097754
JN859129	1097752
JQ067085	1175655
JQ300538	1147141
JQ512844	1161933
JQ684677	1161934
JQ692107	1161928
JQ698665	1194642
JQ740788	1165135
JQ740789	1165136
JQ740790	1165137
JQ740791	1165138
JQ740792	1165139
JQ740793	1165140
JQ740794	1165141
JQ740795	1165142
JQ740796	1165143
JQ740797	1165144
JQ740798	1165145
JQ740799	1165146
JQ740800	1165147
JQ740801	1165148
JQ740802	1165149
JQ740803	1165150
JQ740804	1165151
JQ740805	1165152
JQ740806	1165153
JQ740807	1165154
JQ740808	1165155
JQ740809	1165156
JQ740810	1165157
JQ740811	1165158
JQ740812	1165159
JQ740813	1165160
JQ740814	1165161
JQ809701	1168593
JQ896627	1176425
JX006077	182851
JX015524	1195075
JX042579	1195070
JX174275	1296641
JX202565	1204541
JX262376	1211278
JX274646	1211285
JX274647	1211286
JX297445	1211279
JX307702	1211281
JX307703	1211284
JX307704	1211282
JX307705	1211283
JX409894	1225805
JX409895	1225806
JX411619	1225862
JX411620	1225861
JX486088	1225795
JX564242	254253
JX570703	1235651
JX570706	1235646
JX570707	1235652
JX570708	1235657
JX570711	1235648
JX649096	1235694
JX649097	1235693
JX649098	1235692
JX649099	1235691
JX649100	1235690
JX889246	1239386
KC139514	1173755
KC139515	1173758
KC182543	270182
KC182544	39838
KC182545	213782
KC182548	213773
KC182549	213777
KC182550	213774
KC330681	1273743
KC330682	1273744
KC333879	1273706
KC522412	1289467
KC542353	1366055
KC579452	1296653
KC595511	1296654
KC661271	1327769
KC661272	1327779
KC661274	1327775
KC661276	1327778
KC691254	1327763
KC758116	1308899
KC787107	1327949
KC787108	1327950
KC821615	1327979
KC821621	1327984
KC821625	1327992
KC821627	1327995
KF017927	1340711
KF024722	1131248
KF024727	1340828
KF024733	1340834
KF188414	1358124
KF192053	1351735
KF279413	1354509
KF279416	1354513
KF296717	1357712
KF493883	1429913
KF626665	1415148
KF626668	1415147
KF676640	1414741
KF771236	1416027
KF841476	1429792
KJ194581	1458709
KJ194583	1458713
KJ194584	1458712
KJ433975	1463810
KJ538722	1471543
KJ538723	1471544
KJ567041	1486474
KJ567044	1486471
KJ567045	1486470
KJ578763	1500803
KJ578764	1500804
KJ578765	1500805
KJ578766	1500806
KJ578769	1500809
KJ578770	1500810
KJ578771	1500811
KJ578775	1500815
KJ578777	1500817
KJ578778	1500818
KJ578779	1500819
KJ578783	1500823
KJ578784	1500824
KJ578786	1500826
KJ578789	1500829
KJ578792	1500832
KJ595575	1486404
KJ725374	1498190
KJ829260	1505226
KM091442	1527693
KM091443	1527694
KM091444	1527692
KM101117	1527533
KM233455	1527517
KM347890	1536599
KM363597	1541820
KM366098	1543203
KM408320	1541886
KM434185	1542091
KM463009	1552733
KM591905	1555234
KM592966	1551642
KM923970	1606762
KM979355	1567007
KP017310	1567451
KP017311	1567452
KP027195	1567467
KP027197	1567469
KP027198	1567470
KP027202	1567477
KP027203	1567479
KP027204	1567478
KP027207	1567465
KP027208	1567474
KP027209	1567476
KP057620	1567483
KP137439	1572749
KP296794	1589753
KP296795	1589754
KP793101	1636565
KP793102	1636724
KP793103	1636562
KP793104	1636573
KP793105	1636564
KP793106	1636572
KP793107	1636575
KP793108	1636570
KP793109	1636574
KP793110	1636568
KP793111	1636563
KP793112	1636558
KP793113	1636577
KP793114	1636561
KP793115	1636557
KP793116	1636559
KP793117	1636579
KP793118	1636578
KP793119	1636555
KP793120	1636581
KP793121	1636556
KP793122	1636582
KP793123	1636566
KP793124	1636569
KP793125	1636571
KP793126	1636585
KP793127	1636567
KP793128	1636584
KP793129	1636580
KP793130	1636560
KP793131	1636576
KP793132	1636586
KP793133	1636583
KP793134	1636587
KP793135	1636554
KR011064	1636547
KR080200	1647307
KR080203	1647310
KR080205	1647312
KR093625	1647524
KR093626	1647535
KR093627	1647546
KR093628	1647550
KR093629	1647551
KR093630	1647552
KR093631	1647553
KR093632	1647554
KR093633	1647555
KR093634	1647525
KR093635	1647526
KR093636	1647527
KR093637	1647528
KR093638	1647529
KR093639	1647530
KR093640	1647531
KR093641	1647532
KR093642	1647533
KR093643	1647534
KR093644	1647536
KR093645	1647537
KR093646	1647538
KR093647	1647539
KR093648	1647540
KR093649	1647541
KR093650	1647542
KR093651	1647543
KR093652	1647544
KR093653	1647545
KR093654	1647547
KR093655	1647548
KR093656	1647549
KR131750	1647400
KR337649	1655013
KR422353	1655307
KR537872	1642588
KR709302	1675528
KR709303	1675529
KR816508	1673885
KR902979	1690806
KR902980	1690807
KR902981	1690808
KR902982	1690809
KR902983	1690810
KR902984	1690811
KR902985	1690812
KR902986	1690813
KR902987	1690814
KR997931	1675550
KR997932	1675551
KR997933	1675552
KT001912	1675599
KT001913	1675600
KT001914	1675601
KT020852	1673875
KT021004	1661715
KT124227	1690426
KT124228	1690427
KT124229	1690428
KT151957	1691956
KT186229	1673878
KT222940	1679527
KT246485	1698367
KT266805	1682380
KT281796	1698716
KT326767	1698419
KT345706	1689660
KT347314	1698359
KT355472	1698364
KT355473	1698362
KT355474	1698365
KT355475	1698363
KT359365	1698254
KT361650	1636262
KT361653	1702259
KT361655	1702260
KT361656	1636260
KT361657	1636254
KT361920	1698440
KT364588	1700833
KT365397	1701799
KT365399	1701801
KT365402	1701803
KT372003	1701852
KT373978	1701847
KT375356	1700839
KT381277	1701854
KT454972	1718174
KT591076	1784843
KT591491	1718601
KT599441	1718175
KT626047	1792149
KT716493	1718177
KT783672	1735465
KT825490	1735565
KT880194	1784939
KT887557	1754216
KT945995	1747351
KT959213	1747281
KT962832	1747352
KT967075	1643325
KT968832	1755690
KT970646	1643327
KT990218	1755671
KU160638	1772291
KU160639	1772292
KU160640	1772293
KU160641	1772294
KU160642	1772295
KU160643	1772296
KU160645	1772297
KU160646	1772298
KU160647	1772299
KU160648	1772300
KU160649	1772301
KU160650	1772302
KU160652	1772303
KU160653	1772304
KU160654	1772305
KU160655	1772306
KU160657	1772308
KU160658	1772309
KU160659	1772310
KU160661	1772311
KU160662	1772312
KU160663	1772313
KU160664	1772314
KU160666	1772316
KU160667	1772317
KU160669	1772319
KU160670	1772320
KU160671	1772321
KU160672	1772322
KU160673	1772323
KU160674	1772324
KU189325	1775283
KU194205	1772218
KU194206	1772219
KU204984	1775248
KU234099	1777060
KU245542	1772332
KU252585	1777061
KU255188	1777058
KU297783	1777062
KU530220	1784947
KU568494	1784956
KU578077	1792228
KU613353	1792253
KU647626	1796995
KU647627	1796996
KU647628	1796997
KU695581	1805459
KU695582	1805460
KU716095	1805458
KU728633	1805457
LN610584	1548912
LN610585	1548913
LN681534	1582149
LN881731	1720499
NC_000871	72638
NC_000872	64186
NC_000896	12417
NC_001335	31757
NC_001416	10710
NC_001629	36343
NC_001706	31537
NC_001835	31532
NC_001884	66797
NC_001900	28369
NC_001901	40631
NC_001902	77048
NC_001909	63118
NC_001978	10719
NC_002072	90410
NC_002166	10742
NC_002167	37554
NC_002185	112023
NC_002214	78541
NC_002321	71366
NC_002484	31535
NC_002656	148603
NC_002661	130478
NC_002666	151535
NC_002667	151536
NC_002668	151537
NC_002669	151538
NC_002670	151534
NC_002671	151539
NC_002703	35241
NC_002747	35345
NC_002796	31754
NC_003050	120574
NC_003216	40521
NC_003288	106284
NC_003291	181007
NC_003309	180504
NC_003387	88870
NC_003524	190478
NC_004066	114416
NC_004112	51369
NC_004166	10724
NC_004167	10717
NC_004302	43685
NC_004303	85154
NC_004305	52979
NC_004615	12360
NC_004664	225588
NC_004680	205868
NC_004681	205869
NC_004682	205870
NC_004683	205872
NC_004684	205874
NC_004685	205875
NC_004686	205876
NC_004688	205879
NC_004689	205880
NC_004746	354260
NC_004813	196242
NC_004902	232237
NC_004996	157924
NC_005069	172667
NC_005091	242861
NC_005178	10708
NC_005284	255131
NC_005345	10702
NC_005356	259901
NC_005822	12390
NC_005833	1921008
NC_005857	255431
NC_005859	10726
NC_005885	279303
NC_005893	279281
NC_006356	294631
NC_006548	151599
NC_006557	294382
NC_006936	235201
NC_006938	279383
NC_006940	293644
NC_006949	101570
NC_006953	310539
NC_007019	306323
NC_007047	55511
NC_007048	320834
NC_007049	320835
NC_007050	59506
NC_007051	320836
NC_007052	320837
NC_007053	215167
NC_007054	320839
NC_007055	320840
NC_007056	320841
NC_007057	320842
NC_007058	320843
NC_007059	320844
NC_007060	320845
NC_007061	320846
NC_007062	320847
NC_007063	320848
NC_007064	320849
NC_007065	320850
NC_007291	337828
NC_007458	347962
NC_007497	348137
NC_007501	146269
NC_007603	355246
NC_007709	329254
NC_007734	359961
NC_007805	347324
NC_007806	347325
NC_007809	347328
NC_007814	345922
NC_007967	370623
NC_008194	373403
NC_008195	373406
NC_008196	373408
NC_008197	373409
NC_008198	373410
NC_008199	373413
NC_008200	373411
NC_008202	373407
NC_008203	373405
NC_008204	373414
NC_008205	373412
NC_008206	373415
NC_008363	83129
NC_008364	382685
NC_008370	213769
NC_008371	213775
NC_008583	387905
NC_008617	387909
NC_008689	360398
NC_008695	416419
NC_008717	389469
NC_008721	413066
NC_008722	398839
NC_008723	399185
NC_008798	326036
NC_008799	326037
NC_009018	423476
NC_009232	424944
NC_009235	431891
NC_009447	437329
NC_009514	414970
NC_009526	53369
NC_009540	245685
NC_009541	376758
NC_009543	470314
NC_009554	12348
NC_009603	446529
NC_009799	28358
NC_009803	466051
NC_009804	466052
NC_009810	40522
NC_009812	330396
NC_009813	330397
NC_009814	330398
NC_009815	330399
NC_009816	384848
NC_009818	397353
NC_009819	403905
NC_009820	439809
NC_009877	260120
NC_009878	260121
NC_009993	480808
NC_010116	462590
NC_010147	379501
NC_010353	459845
NC_010355	467481
NC_010495	424716
NC_010576	475178
NC_010583	491003
NC_010808	487152
NC_010945	537874
NC_011019	540066
NC_011020	540065
NC_011021	540067
NC_011022	540064
NC_011023	540068
NC_011039	543153
NC_011044	543152
NC_011046	494269
NC_011054	546182
NC_011055	546185
NC_011056	546183
NC_011057	546184
NC_011103	10704
NC_011104	496874
NC_011167	552525
NC_011222	99179
NC_011267	555603
NC_011285	561999
NC_011287	563122
NC_011288	563119
NC_011289	563123
NC_011290	561998
NC_011291	561996
NC_011292	563121
NC_011308	560178
NC_011318	541865
NC_011373	504346
NC_011589	573591
NC_011611	505292
NC_011612	575610
NC_011613	505291
NC_011614	575608
NC_011645	565140
NC_011801	578234
NC_012027	591487
NC_012223	624134
NC_012419	627087
NC_012663	641487
NC_012742	538979
NC_012753	646413
NC_012756	644007
NC_012788	649688
NC_012884	372457
NC_013021	658401
NC_013055	335797
NC_013152	665884
NC_013155	665883
NC_013195	668618
NC_013598	682370
NC_013600	673375
NC_013643	673835
NC_013644	673839
NC_013645	633135
NC_013646	673832
NC_013648	673837
NC_013694	663557
NC_013696	663241
NC_013698	686439
NC_013936	685506
NC_014229	747763
NC_014457	871584
NC_014458	861044
NC_014459	861045
NC_014460	872294
NC_014461	861047
NC_014901	938131
NC_015210	981330
NC_015252	764561
NC_015254	764562
NC_015262	864178
NC_015263	881953
NC_015269	977927
NC_015270	767806
NC_015274	59241
NC_015293	877240
NC_015453	504553
NC_015454	504501
NC_015456	1002724
NC_015463	753084
NC_015465	753085
NC_015466	562742
NC_015568	1032362
NC_015584	1034125
NC_015720	981323
NC_016158	906669
NC_016160	906668
NC_016161	1108070
NC_016164	909297
NC_016165	1105286
NC_016166	1100814
NC_016434	319522
NC_016435	1109710
NC_016566	1109721
NC_016567	700512
NC_016568	1069378
NC_016569	1109711
NC_016650	1109716
NC_016651	1109717
NC_016653	1109715
NC_016655	1109712
NC_016762	1129145
NC_016763	1115478
NC_016765	1129146
NC_016766	756275
NC_016770	1105171
NC_017688	1165134
NC_017864	1141526
NC_017968	1168613
NC_017969	1112008
NC_017973	1175504
NC_017976	1161901
NC_017978	1187894
NC_018085	1194641
NC_018086	1173135
NC_018088	765765
NC_018264	1126885
NC_018273	1161930
NC_018274	1161903
NC_018276	1176422
NC_018277	1118063
NC_018278	1132026
NC_018279	1168549
NC_018281	1197952
NC_018282	1204517
NC_018283	1133022
NC_018284	1197953
NC_018285	1051631
NC_018454	1168280
NC_018831	1225800
NC_018834	1229782
NC_018836	1204524
NC_018837	1204539
NC_018838	1229790
NC_018839	1229784
NC_018840	1229791
NC_018841	1229786
NC_018842	1229792
NC_018843	1177632
NC_018845	1229787
NC_018847	1229793
NC_018848	1204525
NC_018849	1229788
NC_018851	1229794
NC_018852	1229789
NC_018853	1204526
NC_019404	1141140
NC_019405	1204537
NC_019406	1211640
NC_019407	1211642
NC_019408	1211643
NC_019410	1211641
NC_019411	1211644
NC_019414	10732
NC_019417	1141134
NC_019418	1239381
NC_019419	1245890
NC_019449	508419
NC_019456	37105
NC_019486	947980
NC_019489	947981
NC_019490	936152
NC_019496	673376
NC_019502	1124578
NC_019506	1042122
NC_019508	1042123
NC_019509	1073767
NC_019513	1168612
NC_019524	1150990
NC_019529	1150989
NC_019539	1163482
NC_019545	1147140
NC_019704	1147151
NC_019705	1147154
NC_019706	1147149
NC_019708	1147150
NC_019709	1147153
NC_019710	1147143
NC_019711	1147148
NC_019713	1229755
NC_019714	1147145
NC_019715	1147157
NC_019716	1147152
NC_019717	1147144
NC_019718	1147155
NC_019719	1147147
NC_019720	1147156
NC_019721	1147158
NC_019723	1147146
NC_019724	1147142
NC_019725	1216926
NC_019767	432201
NC_019768	432198
NC_019769	432200
NC_019912	1236573
NC_019914	1147044
NC_019915	1147043
NC_019916	1225794
NC_019919	1206557
NC_019921	874267
NC_019924	1147137
NC_019929	1029988
NC_019933	1188794
NC_019934	984175
NC_020197	73422
NC_020198	1223260
NC_020199	1165702
NC_020200	1223262
NC_020202	1223261
NC_020203	1223259
NC_020477	1273741
NC_020478	1273739
NC_020479	1273740
NC_020480	1273742
NC_020490	1147042
NC_020839	754055
NC_020842	756282
NC_020851	754042
NC_020870	1262516
NC_020876	1245814
NC_020880	1262522
NC_020883	547228
NC_021061	1296646
NC_021063	1305710
NC_021190	10713
NC_021297	1327773
NC_021298	1327758
NC_021299	1325953
NC_021301	1327777
NC_021302	1327765
NC_021304	1327759
NC_021305	1327939
NC_021306	1327764
NC_021307	1327776
NC_021308	1327770
NC_021309	1327774
NC_021310	1327766
NC_021311	1327937
NC_021317	1325963
NC_021318	1327948
NC_021323	1277672
NC_021324	1327035
NC_021325	1305708
NC_021326	1195068
NC_021331	1315956
NC_021332	1195071
NC_021334	1327036
NC_021338	1327947
NC_021339	1327760
NC_021533	1262532
NC_021535	1327772
NC_021538	1327771
NC_021539	1173743
NC_021556	1327952
NC_021558	754053
NC_021561	929835
NC_021563	1282995
NC_021773	1273712
NC_021775	1173749
NC_021777	1340534
NC_021779	1173754
NC_021780	1173757
NC_021783	1005056
NC_021785	1173748
NC_021787	1173747
NC_021790	1327982
NC_021791	1327976
NC_021795	1327980
NC_021799	1327970
NC_021800	1327974
NC_021801	1347760
NC_021802	1327981
NC_021804	1327993
NC_021852	1262537
NC_021853	1262533
NC_021854	1262536
NC_021855	1262538
NC_021860	1262535
NC_021861	1229751
NC_021863	1195086
NC_021868	1208587
NC_022052	1340826
NC_022053	1383056
NC_022054	1340829
NC_022055	1340708
NC_022056	1340824
NC_022057	1340819
NC_022058	1383059
NC_022059	1357669
NC_022060	1340821
NC_022061	1340830
NC_022062	1340825
NC_022063	1383055
NC_022065	1340833
NC_022066	1340709
NC_022067	1340713
NC_022068	1340822
NC_022069	1340820
NC_022070	1383054
NC_022071	1340836
NC_022085	1383057
NC_022086	1340818
NC_022087	1076630
NC_022324	1340827
NC_022325	1340831
NC_022328	1354507
NC_022329	1354512
NC_022330	1354514
NC_022331	1354508
NC_022334	1235654
NC_022335	1235649
NC_022336	1235645
NC_022337	1235650
NC_022338	1235647
NC_022340	1235656
NC_022341	1235655
NC_022342	1235653
NC_022752	424949
NC_022753	1354510
NC_022754	424947
NC_022756	1414736
NC_022757	39103
NC_022758	1399949
NC_022762	1399942
NC_022765	1406788
NC_022766	1406784
NC_022767	1406792
NC_022773	1406782
NC_022774	1406790
NC_022775	1399941
NC_022776	1385385
NC_022914	1403390
NC_022965	1391430
NC_022969	1391181
NC_022972	1414742
NC_022973	1391431
NC_022975	1429904
NC_022976	1391180
NC_022977	1391429
NC_022979	1391432
NC_022981	1430411
NC_022983	1429903
NC_022984	1429912
NC_022985	1391433
NC_022988	1391179
NC_022989	297254
NC_023007	1308863
NC_023498	1414747
NC_023499	1308896
NC_023500	1308897
NC_023502	1414737
NC_023549	1406793
NC_023551	1432658
NC_023552	1429793
NC_023553	1437839
NC_023554	1429905
NC_023562	1429791
NC_023563	1414748
NC_023564	1429759
NC_023565	1445714
NC_023566	1458697
NC_023569	1414739
NC_023572	1445726
NC_023574	1412875
NC_023577	1445715
NC_023578	1445727
NC_023580	1445728
NC_023582	1434319
NC_023591	1327959
NC_023595	1416012
NC_023597	1458726
NC_023599	1357713
NC_023600	1463812
NC_023602	1445729
NC_023603	1463809
NC_023604	1458831
NC_023606	1458841
NC_023607	1458717
NC_023608	1465618
NC_023609	1458846
NC_023610	1401669
NC_023612	1458842
NC_023614	1327037
NC_023686	1089122
NC_023687	1089118
NC_023689	1070990
NC_023690	1089119
NC_023691	1074308
NC_023692	1074309
NC_023694	691964
NC_023695	1086800
NC_023697	1089115
NC_023698	1168594
NC_023699	1089132
NC_023700	937835
NC_023701	1089109
NC_023702	1089128
NC_023703	1089121
NC_023704	1051138
NC_023705	1074304
NC_023706	691966
NC_023707	1071504
NC_023708	1086749
NC_023709	1056833
NC_023710	1071506
NC_023711	1052671
NC_023712	1089135
NC_023713	1089117
NC_023716	1089111
NC_023720	1076136
NC_023721	1074303
NC_023722	691963
NC_023723	1168595
NC_023724	1056831
NC_023726	1051140
NC_023727	1089108
NC_023728	1089120
NC_023729	1056830
NC_023730	1079894
NC_023731	1071503
NC_023732	1086751
NC_023734	1071177
NC_023735	691965
NC_023738	1052673
NC_023739	1089116
NC_023740	1089136
NC_023741	1089137
NC_023742	1089110
NC_023743	1048207
NC_023744	45764
NC_023746	1071505
NC_023747	1084722
NC_023748	701456
NC_023859	1458670
NC_023862	1458724
NC_024135	1486424
NC_024136	1458714
NC_024138	1471542
NC_024139	1446489
NC_024141	1486425
NC_024143	1468169
NC_024145	1463811
NC_024146	1468411
NC_024147	1486427
NC_024148	1486426
NC_024203	1476887
NC_024204	1465613
NC_024208	1476888
NC_024209	1458711
NC_024210	1495286
NC_024212	1458851
NC_024214	1476889
NC_024215	1476886
NC_024330	1481224
NC_024355	1500386
NC_024356	1445858
NC_024363	1486403
NC_024365	1500757
NC_024366	1486473
NC_024368	1498204
NC_024371	1486469
NC_024375	1173745
NC_024378	1262521
NC_024380	1262520
NC_024381	1476390
NC_024384	1458852
NC_024385	1262517
NC_024386	1262518
NC_024387	1458856
NC_024388	1262519
NC_024389	1262523
NC_024390	1262515
NC_024391	1464127
NC_024392	1458857
NC_024782	1391190
NC_024783	1527514
NC_024784	1416030
NC_024789	1416031
NC_024793	1416028
NC_025415	1500734
NC_025420	1500733
NC_025421	1500735
NC_025424	1510440
NC_025428	1555208
NC_025433	1204515
NC_025438	1458725
NC_025442	1541887
NC_025443	1113547
NC_025444	711470
NC_025453	1486428
NC_025460	1498220
NC_025465	1204540
NC_025471	1527515
NC_026010	1572702
NC_026016	1519999
NC_026017	1540823
NC_026583	1567466
NC_026584	1527513
NC_026585	1536603
NC_026588	1527512
NC_026589	1567475
NC_026590	1486472
NC_026591	1527536
NC_026593	1536598
NC_026594	1548905
NC_026595	1527511
NC_026596	1527580
NC_026597	1527493
NC_026598	1567473
NC_026601	1548918
NC_026603	1567471
NC_026604	1527463
NC_026605	1567472
NC_026608	1561065
NC_026609	1552735
NC_026610	1538804
NC_027120	741942
NC_027294	1500822
NC_027295	1500830
NC_027297	1540099
NC_027298	1091556
NC_027333	1500807
NC_027336	1500798
NC_027341	1560313
NC_027346	1500827
NC_027350	1540096
NC_027354	1500831
NC_027356	1567006
NC_027357	1500799
NC_027358	1536605
NC_027359	1500808
NC_027361	1500812
NC_027362	1500816
NC_027365	1097753
NC_027367	1500820
NC_027370	1500828
NC_027371	1498188
NC_027373	1500800
NC_027377	1536604
NC_027378	1540098
NC_027383	1567004
NC_027384	1536596
NC_027385	1500813
NC_027386	1500825
NC_027389	1500821
NC_027391	1500801
NC_027396	1566990
NC_027400	1500802
NC_027401	1500814
NC_027620	1655016
NC_027621	1655023
NC_027622	1655022
NC_027623	1655018
NC_027624	1655020
NC_027625	1655014
NC_027626	1655019
NC_027627	1655021
NC_027628	1655015
NC_027629	1655012
NC_027630	1655017
NC_027982	438780
NC_027985	663560
NC_027986	1225791
NC_027987	745088
NC_027992	1225792
NC_027993	698486
NC_027994	698487
NC_028654	1739966
NC_028657	1755689
NC_028658	1458715
NC_028667	1743016
NC_028669	1698421
NC_028671	1747326
NC_028674	1296647
NC_028677	1701851
NC_028678	1739967
NC_028680	1735466
NC_028681	1675554
NC_028682	1458710
NC_028687	1755681
NC_028689	663553
NC_028690	1527494
NC_028691	1673886
NC_028692	1698361
NC_028694	1747271
NC_028698	1611545
NC_028742	1647306
NC_028743	1572745
NC_028744	1718166
NC_028746	1636257
NC_028747	1698358
NC_028748	1445809
NC_028749	1691958
NC_028751	1675555
NC_028754	1572715
NC_028757	1527535
NC_028758	1589749
NC_028759	1718600
NC_028760	1647408
NC_028763	1647387
NC_028767	1636261
NC_028768	1589746
NC_028770	1175657
NC_028774	1675609
NC_028775	1505027
NC_028776	1610828
NC_028777	1610833
NC_028778	1698714
NC_028779	1555233
NC_028783	1739610
NC_028784	1698420
NC_028785	1679530
NC_028786	1610829
NC_028788	1589750
NC_028791	1647309
NC_028792	1662284
NC_028794	1527520
NC_028796	1647302
NC_028798	1527516
NC_028801	1034149
NC_028802	1673876
NC_028803	1035482
NC_028804	1675548
NC_028805	1691954
NC_028807	1690817
NC_028810	1698441
NC_028812	1567485
NC_028813	1698713
NC_028815	1675553
NC_028818	1636184
NC_028821	1732064
NC_028823	1551711
NC_028826	1718158
NC_028827	1674927
NC_028828	1701845
NC_028830	1739609
NC_028831	1720493
NC_028832	1541819
NC_028834	1589747
NC_028835	1739608
NC_028837	1636263
NC_028841	1589751
NC_028842	1556289
NC_028843	1698711
NC_028844	1698356
NC_028846	1647313
NC_028849	1647300
NC_028851	1636255
NC_028852	1555201
NC_028853	1572743
NC_028854	1589755
NC_028856	1610832
NC_028859	1636204
NC_028860	1673873
NC_028861	1647304
NC_028862	1674930
NC_028864	387910
NC_028865	1636545
NC_028871	1591072
NC_028874	1718171
NC_028876	1541824
NC_028877	1560285
NC_028878	1718599
NC_028879	1175662
NC_028886	1643324
NC_028888	1739607
NC_028889	1675549
NC_028892	1690425
NC_028895	1589298
NC_028897	1698366
NC_028900	287412
NC_028901	1720498
NC_028904	1673877
NC_028905	1582150
NC_028906	1035485
NC_028907	1089127
NC_028910	1698715
NC_028911	1739611
NC_028912	1527534
NC_028913	387908
NC_028914	1589274
NC_028915	1636205
NC_028917	1505026
NC_028920	1551710
NC_028922	1647305
NC_028923	1541823
NC_028924	1647386
NC_028928	1647308
NC_028929	1591073
NC_028930	1718161
NC_028932	1701853
NC_028934	1647301
NC_028936	1698709
NC_028937	1673889
NC_028941	1701849
NC_028942	1034143
NC_028946	1698357
NC_028947	1606763
NC_028952	1690818
NC_028953	1567005
NC_028956	1572747
NC_028958	1582151
NC_028960	1718172
NC_028961	1698712
NC_028965	1698417
NC_028966	1636546
NC_028967	1690805
NC_028968	1698252
NC_028972	1622190
NC_028974	1636183
NC_028976	1674926
NC_028978	1560286
NC_028979	1506716
NC_028980	1718273
NC_028984	1587907
NC_028990	1747289
NC_028997	1610838
NC_029005	1755682
NC_029008	1643326
NC_029010	1498171
NC_029016	1747287
NC_029018	1354511
NC_029019	1642663
NC_029021	1610836
NC_029024	701257
NC_029025	1610872
NC_029028	1610837
NC_029030	1647391
NC_029033	1610509
NC_029043	1555235
NC_029045	1654890
NC_029046	1524882
NC_029047	1636271
NC_029059	1567468
NC_029060	1622191
NC_029066	1573458
NC_029068	1567453
NC_029071	1654889
NC_029073	1572712
NC_029074	1622192
NC_029075	1589748
NC_029077	1542912
NC_029078	1675317
NC_029079	1679524
NC_029084	1589752
NC_029093	1647311
NC_029098	1556290
NC_029099	1129191
NC_029100	1667322
NC_029106	1664246
NC_029118	1698369
NC_029119	1732063
NC_004462	1714273
NC_007217	326574
NC_013197	1714272
NC_016989	1154689
NC_020998	1282967
AJ536073	1075161
AY441783	261665
AY848684	318593
